Origin,Destination,Time (min)
1100701,1100709,54.135
1100701,1100710,70.26
1100701,1101118,59.141666666666666
1100702,1100703,5.481666667000001
1100702,1100704,1.216666667
1100702,1100705,3.511666667
1100702,1100707,23.78833333
1100702,1100708,39.78
1100702,1100709,22.18
1100702,1100710,50.13
1100703,1100702,5.381666667
1100703,1100704,5.648333332999999
1100703,1100705,7.943333332999999
1100704,1100702,1.333333333
1100704,1100703,5.528333333
1100704,1100705,3.093333333
1100705,1100702,4.118333333
1100705,1100703,8.313333333
1100705,1100704,3.88
1100706,1100707,30.594999999999995
1100706,1100708,48.68666667
1100707,1100702,28.23
1100707,1100706,23.49833333
1100707,1100708,58.22666667
1100707,1100710,77.07333333
1100707,1102201,225.3
1100707,1102402,89.25666667
1100707,1127501,120.91333329999999
1100708,1100702,36.54166667
1100708,1100706,45.58666667
1100708,1100707,50.595
1100708,1100709,57.43500000000001
1100708,1101107,71.955
1100708,1101113,63.65833333
1100708,1101116,63.98833333
1100708,1102201,245.86
1100709,1100701,51.77833333333333
1100709,1100702,21.969999999999995
1100709,1100708,60.8
1100709,1100710,69.71
1100709,1101112,36.56666667
1100709,1101113,20.2
1100709,1101118,53.14333333
1100710,1100701,67.84666666666666
1100710,1100702,48.87666667
1100710,1100707,71.715
1100710,1100709,68.76666667
1100710,1127501,47.02833333
1100801,1100802,2.911666667
1100801,1100814,1.831666667
1100801,1100819,2.141666667
1100801,1100820,1.19
1100802,1100801,3.0983333330000002
1100802,1100804,2.918333333
1100802,1100811,3.1483333330000005
1100802,1100814,4.336666667
1100802,1100818,2.643333333
1100802,1100820,2.753333333
1100802,1101002,13.62666667
1100803,1100804,3.143333333
1100803,1100805,1.8766666669999998
1100803,1100808,2.29
1100803,1100816,3.331666667
1100804,1100802,3.063333333
1100804,1100803,2.826666667
1100804,1100805,1.63
1100804,1100818,2.7149999999999994
1100804,1100820,2.4
1100805,1100803,1.928333333
1100805,1100804,1.598333333
1100805,1100806,2.113333333
1100805,1100820,1.661666667
1100805,1100823,1.425
1100806,1100805,2.093333333
1100806,1100810,1.675
1100806,1100820,1.8433333330000001
1100806,1100821,2.798333333
1100806,1100822,1.5116666669999999
1100806,1100823,2.6316666669999997
1100807,1100808,3.49
1100807,1100815,2.8016666669999997
1100807,1100916,2.4766666669999995
1100807,1101209,4.101666667
1100807,1101219,2.6316666669999997
1100807,1101220,3.038333333
1100808,1100803,2.2850000000000006
1100808,1100807,3.68
1100808,1100815,2.655
1100808,1100816,3.1016666669999995
1100808,1100823,2.4866666669999997
1100810,1100806,1.6716666669999998
1100810,1100822,2.455
1100810,1100823,2.64
1100811,1100802,3.05
1100811,1100817,3.4533333330000002
1100811,1100818,2.4266666669999997
1100811,1100913,3.291666667
1100811,1101002,13.41
1100811,1101003,9.055
1100812,1100813,3.19
1100812,1101002,17.74
1100813,1100812,3.24
1100813,1100814,4.026666667
1100813,1101002,16.02166667
1100814,1100801,1.838333333
1100814,1100802,4.265
1100814,1100813,3.775
1100814,1101002,15.39333333
1100815,1100807,3.233333333
1100815,1100808,2.7766666669999998
1100815,1100816,3.531666667
1100815,1100916,1.7183333330000001
1100816,1100803,3.05
1100816,1100808,2.7433333330000003
1100816,1100815,2.9866666669999997
1100816,1100817,2.6966666669999997
1100816,1100818,4.725
