,Origin,Destination,Time (min),Distance
0,1100701,1100709,54.135,17.856877554784425
1,1100701,1100710,70.26,18.425311164835154
2,1100701,1101118,59.14166666666666,30.64895600231563
3,1100702,1100703,5.481666667000001,1.29658852626048
4,1100702,1100704,1.216666667,0.4861815813417668
5,1100702,1100705,3.511666667,1.7917666346881918
6,1100702,1100707,23.78833333,20.51736644400787
7,1100702,1100708,39.78,32.54561137148556
8,1100702,1100709,22.18,19.110502182239184
9,1100702,1100710,50.13,27.244204766701653
10,1100703,1100702,5.381666667,1.29658852626048
11,1100703,1100704,5.648333332999999,1.1500937170398513
12,1100703,1100705,7.943333332999999,1.4208346267605545
13,1100704,1100702,1.333333333,0.4861815813417668
14,1100704,1100703,5.528333333,1.1500937170398513
15,1100704,1100705,3.093333333,1.315765961736164
16,1100705,1100702,4.118333333,1.7917666346881918
17,1100705,1100703,8.313333333,1.4208346267605545
18,1100705,1100704,3.88,1.315765961736164
19,1100706,1100707,30.594999999999995,9.72288481719247
20,1100706,1100708,48.68666667,15.725199738713618
21,1100707,1100702,28.23,20.51736644400787
22,1100707,1100706,23.49833333,9.72288481719247
23,1100707,1100708,58.22666667,20.783708365612526
24,1100707,1100710,77.07333333,43.18217036390106
25,1100707,1102201,225.3,62.757820469188935
26,1100707,1102402,89.25666667,17.820957734212747
27,1100707,1127501,120.9133333,68.64451718243899
28,1100708,1100702,36.54166667,32.54561137148556
29,1100708,1100706,45.58666667,15.725199738713618
30,1100708,1100707,50.595,20.783708365612526
31,1100708,1100709,57.43500000000001,47.29403751180764
32,1100708,1101107,71.955,30.01031087583697
33,1100708,1101113,63.65833333,43.211039100200445
34,1100708,1101116,63.98833333,20.803344640080212
35,1100708,1102201,245.86,55.74016188105087
36,1100709,1100701,51.77833333333333,17.856877554784425
37,1100709,1100702,21.969999999999995,19.110502182239184
38,1100709,1100708,60.8,47.29403751180764
39,1100709,1100710,69.71,24.89634326367204
40,1100709,1101112,36.56666667,14.91047573945049
41,1100709,1101113,20.2,11.867623342046958
42,1100709,1101118,53.14333333,27.160618088680348
43,1100710,1100701,67.84666666666666,18.425311164835154
44,1100710,1100702,48.87666667,27.244204766701653
45,1100710,1100707,71.715,43.18217036390106
46,1100710,1100709,68.76666667,24.89634326367204
47,1100710,1127501,47.02833333,27.495135954463397
48,1100801,1100802,2.911666667,0.6572973132539094
49,1100801,1100814,1.831666667,0.328637430420895
50,1100801,1100819,2.141666667,0.44417629948510157
51,1100801,1100820,1.19,0.34776086428875047
52,1100802,1100801,3.098333333,0.6572973132539094
53,1100802,1100804,2.918333333,0.49810923142598346
54,1100802,1100811,3.1483333330000005,0.5433963968387534
55,1100802,1100814,4.336666667,0.7329903591223069
56,1100802,1100818,2.643333333,0.5004532518447847
57,1100802,1100820,2.753333333,0.5908703650966308
58,1100802,1101002,13.62666667,0.9344624431033859
59,1100803,1100804,3.143333333,0.4293116785111581
60,1100803,1100805,1.876666667,0.324335554529376
61,1100803,1100808,2.29,0.4090288323683308
62,1100803,1100816,3.331666667,0.4465189040518469
63,1100804,1100802,3.063333333,0.49810923142598346
64,1100804,1100803,2.826666667,0.4293116785111581
65,1100804,1100805,1.63,0.37302314035756007
66,1100804,1100818,2.7149999999999994,0.37783310899277395
67,1100804,1100820,2.4,0.5109104270481194
68,1100805,1100803,1.928333333,0.324335554529376
69,1100805,1100804,1.598333333,0.37302314035756007
70,1100805,1100806,2.113333333,0.19804170930010204
71,1100805,1100820,1.661666667,0.5955760470015788
72,1100805,1100823,1.425,0.4579717350990606
73,1100806,1100805,2.093333333,0.19804170930010204
74,1100806,1100810,1.675,0.34499146326610675
75,1100806,1100820,1.843333333,0.5351662892603866
76,1100806,1100821,2.798333333,0.3866458430168417
77,1100806,1100822,1.511666667,0.4555051540566981
78,1100806,1100823,2.631666667,0.4944381670654478
79,1100807,1100808,3.49,0.43833100211001325
80,1100807,1100815,2.801666667,0.3621514186417375
81,1100807,1100916,2.4766666669999995,0.620340555805457
82,1100807,1101209,4.101666667,0.8695489048382672
83,1100807,1101219,2.631666667,0.534154917369538
84,1100807,1101220,3.038333333,0.5169403139614211
85,1100808,1100803,2.2850000000000006,0.4090288323683308
86,1100808,1100807,3.68,0.43833100211001325
87,1100808,1100815,2.655,0.4444255014305141
88,1100808,1100816,3.1016666669999995,0.6158294770395653
89,1100808,1100823,2.486666667,0.3785880784075515
90,1100810,1100806,1.6716666669999998,0.34499146326610675
91,1100810,1100822,2.455,0.34229931517352913
92,1100810,1100823,2.64,0.40598141752900213
93,1100811,1100802,3.05,0.5433963968387534
94,1100811,1100817,3.453333333,0.42393176673052657
95,1100811,1100818,2.426666667,0.48749923340081486
96,1100811,1100913,3.291666667,0.44869498685819986
97,1100811,1101002,13.41,0.9149646463692883
