Origin,Destination,Time (min)
2100101,2100106,1.9066666666666667
2100101,2100109,1.9633333333333334
2100101,2100114,3.808333333333333
2100101,2100117,6.165
2100102,2100106,2.3400000000000003
2100102,2100112,3.25
2100102,2100114,2.4066666666666667
2100105,2100107,2.3616666666666664
2100105,2100108,3.7983333333333333
2100105,2100614,3.3233333333333333
2100106,2100108,4.095
2100106,2100109,1.6733333333333333
2100106,2100114,3.0716666666666668
2100107,2100108,3.1816666666666666
2100107,2100109,2.625
2100107,2100202,4.235
2100108,2100109,2.853333333333333
2100109,2100117,5.306666666666667
2100110,2100111,3.191666666666667
2100110,2100112,2.9033333333333333
2100110,2100114,4.885000000000001
2100110,2100117,4.961666666666667
2100111,2100112,1.7733333333333334
2100111,2100113,2.868333333333333
2100112,2100113,3.435
2100112,2100114,3.1266666666666665
2100114,2100117,7.658333333333333
2100115,2101011,16.291666666666668
2100117,2100201,8.78
2100117,2100202,6.173333333333333
2100201,2100202,5.430000000000001
2100201,2100203,2.9066666666666667
2100201,2100204,4.7733333333333325
2100202,2100203,3.5933333333333333
2100202,2100208,4.180000000000001
2100203,2100204,3.67
2100204,2100225,2.9583333333333335
2100205,2100211,3.9916666666666667
2100205,2100214,3.5
2100205,2100230,4.033333333333333
2100205,2100424,3.2583333333333333
2100205,2100427,3.0083333333333333
2100206,2100207,10.618333333333334
2100206,2100208,8.706666666666667
2100206,2100211,10.156666666666666
2100207,2100208,2.1516666666666664
2100207,2100211,2.6133333333333337
2100207,2100213,4.430000000000001
2100207,2100233,3.453333333333333
2100208,2100212,2.7233333333333336
2100208,2100222,2.99
2100211,2100214,3.558333333333333
2100211,2100232,3.11
2100212,2100217,2.4866666666666664
2100212,2100222,2.0933333333333333
2100212,2100233,1.0733333333333335
2100213,2100218,3.865
2100213,2100232,2.935
2100213,2100233,2.7550000000000003
2100214,2100215,2.36
2100214,2100230,0.725
2100214,2100232,0.705
2100215,2100216,3.8316666666666666
2100215,2100230,2.7733333333333334
2100215,2100231,1.7683333333333333
2100215,2100426,1.9583333333333333
2100216,2100219,6.21
2100216,2100407,4.375
2100216,2100411,3.4066666666666667
2100216,2100430,3.6733333333333333
2100217,2100219,4.023333333333333
2100217,2100220,1.855
2100217,2100221,2.8483333333333336
2100217,2100222,2.045
2100217,2100226,1.1916666666666667
2100217,2100227,2.2183333333333333
2100218,2100219,3.2816666666666667
2100218,2100226,0.6533333333333334
2100218,2100231,0.53
2100219,2100221,4.973333333333333
2100219,2100226,2.865
2100219,2100231,3.1883333333333335
2100219,2100234,2.74
2100219,2100303,4.881666666666666
2100219,2100330,4.203333333333333
2100219,2100407,3.0683333333333334
2100219,2100410,2.4833333333333334
2100220,2100221,3.356666666666667
2100220,2100227,2.3516666666666666
2100221,2100224,2.6416666666666666
2100221,2100227,2.703333333333333
2100221,2100323,5.033333333333333
2100221,2100330,2.9583333333333335
2100221,2100331,2.8916666666666666
2100222,2100223,2.2866666666666666
2100222,2100227,1.7983333333333333
2100223,2100224,2.086666666666667
2100223,2100227,3.1550000000000002
2100224,2100227,2.7866666666666666
2100224,2100229,0.88
2100224,2100323,4.89
2100225,2100228,1.495
2100225,2100824,4.223333333333334
2100225,2100825,5.778333333333333
2100226,2100233,2.1266666666666665
2100228,2100229,1.49
2100228,2100826,3.33
2100228,2100827,3.4766666666666666
2100228,2100828,3.885
2100229,2100323,3.5050000000000003
2100229,2100808,5.3116666666666665
2100229,2100809,1.465
2100230,2100426,1.9183333333333332
2100230,2100427,1.6666666666666667
2100231,2100232,2.135
2100234,2100303,2.381666666666667
2100234,2100307,2.9650000000000003
2100234,2100308,2.8766666666666665
2100234,2100339,2.695
2100234,2100409,2.4699999999999998
2100234,2100410,1.4783333333333333
2100301,2100311,15.986666666666668
2100301,2100326,3.335
2100301,2100327,11.743333333333334
2100301,2100329,8.156666666666666
2100301,2100342,9.233333333333333
2100301,2100346,8.316666666666666
2100301,2100347,12.571666666666665
2100302,2100306,1.22
2100302,2100308,2.795
2100302,2100344,6.23
2100302,2100348,1.6683333333333332
2100302,2100349,3.1766666666666667
2100302,2100351,1.8566666666666667
2100303,2100304,3.2666666666666666
2100303,2100307,3.8833333333333333
2100303,2100319,6.576666666666667
2100303,2100322,2.3466666666666667
2100303,2100330,2.878333333333333
2100304,2100305,1.1983333333333335
2100304,2100307,3.2216666666666667
2100304,2100319,4.233333333333333
2100305,2100307,3.39
2100305,2100310,1.585
2100305,2100319,3.0349999999999997
2100305,2100343,1.255
2100306,2100307,3.06
2100306,2100339,2.4766666666666666
2100306,2100344,7.08
2100307,2100310,5.008333333333334
2100307,2100339,1.9083333333333334
2100307,2100344,5.575
2100308,2100339,1.1
2100308,2100349,1.9833333333333334
2100308,2100409,2.71
2100309,2100312,3.521666666666667
2100309,2100333,3.871666666666667
2100309,2100340,4.213333333333334
2100309,2100341,2.9683333333333333
2100309,2100344,5.111666666666666
2100309,2100351,1.285
2100309,2100414,2.9433333333333334
2100309,2100451,4.786666666666666
2100310,2100333,2.57
2100310,2100343,0.6816666666666666
2100310,2100344,5.048333333333333
2100310,2100350,1.5083333333333333
2100311,2100312,13.878333333333334
2100311,2100337,17.646666666666665
2100311,2100342,9.571666666666665
2100311,2100347,5.905
2100311,2101007,9.151666666666667
2100311,2101017,19.558333333333334
2100311,2101210,12.233333333333333
2100312,2100333,5.8100000000000005
2100312,2100342,7.073333333333333
2100312,2100451,8.276666666666667
2100312,2101207,7.614999999999999
2100312,2101208,6.553333333333333
2100312,2101210,9.354999999999999
2100313,2100315,2.3400000000000003
2100313,2100327,5.995
2100313,2100337,12.148333333333333
2100313,2100347,4.983333333333333
2100314,2100315,3.3116666666666665
2100314,2100316,6.701666666666667
2100314,2100808,4.308333333333334
2100315,2100337,12.04
2100315,2100345,2.055
2100315,2100808,5.118333333333334
2100316,2100321,4.078333333333333
2100316,2100323,3.315
2100316,2100334,5.928333333333333
2100316,2100335,3.7150000000000003
2100316,2100808,6.465
2100317,2100327,6.15
2100317,2100328,4.205
2100317,2100329,4.296666666666667
2100317,2100334,6.3933333333333335
2100318,2100320,2.0466666666666664
2100318,2100321,2.0733333333333333
2100318,2100332,2.5383333333333336
2100318,2100335,2.3733333333333335
2100319,2100322,4.08
2100319,2100324,4.153333333333333
2100319,2100325,3.4766666666666666
2100319,2100326,4.09
2100320,2100322,3.493333333333333
2100320,2100324,1.9583333333333333
2100320,2100328,2.5833333333333335
2100320,2100335,3.8633333333333337
2100321,2100323,2.106666666666667
2100321,2100331,1.405
2100321,2100335,2.2583333333333333
2100322,2100330,2.5816666666666666
2100322,2100332,1.0333333333333334
2100323,2100331,2.1216666666666666
2100324,2100325,4.185
2100324,2100328,2.85
2100325,2100326,3.0083333333333333
2100325,2100328,3.046666666666667
2100325,2100329,3.2666666666666666
2100326,2100329,4.821666666666667
2100326,2100343,2.2866666666666666
2100326,2100346,4.9816666666666665
2100326,2100350,3.11
2100327,2100329,3.1416666666666666
2100327,2100334,3.9316666666666666
2100327,2100347,6.713333333333334
2100328,2100329,3.27
2100328,2100335,2.2883333333333336
2100330,2100331,2.106666666666667
2100330,2100332,1.6766666666666665
2100331,2100332,1.1033333333333333
2100333,2100342,3.7866666666666666
2100333,2100346,2.3449999999999998
2100333,2100350,1.7983333333333333
2100334,2100335,2.2616666666666663
2100337,2100345,13.785
2100337,2100347,14.453333333333335
2100337,2100816,8.921666666666665
2100337,2101017,17.265
2100338,2100340,3.6233333333333335
2100338,2100349,1.8783333333333334
2100338,2100409,2.628333333333333
2100338,2100429,2.683333333333333
2100340,2100341,2.4166666666666665
2100340,2100414,4.713333333333334
2100340,2100416,4.148333333333333
2100341,2100348,2.146666666666667
2100341,2100349,3.18
2100341,2100351,1.7583333333333333
2100342,2100346,2.771666666666667
2100343,2100350,0.8233333333333334
2100344,2100351,4.930000000000001
2100345,2100808,7.345
2100346,2100350,1.8566666666666667
2100348,2100349,2.7666666666666666
2100348,2100351,1.3150000000000002
2100349,2100409,2.26
2100401,2100402,4.016666666666667
2100401,2100439,3.871666666666667
2100401,2100443,3.8400000000000003
2100401,2100446,4.78
2100401,2100447,2.225
2100401,2100449,1.6733333333333333
2100401,2100513,10.488333333333333
2100402,2100438,5.255
2100402,2100443,2.7633333333333336
2100402,2100445,3.518333333333333
2100402,2100449,3.525
2100404,2100406,3.0116666666666663
2100404,2100408,2.5166666666666666
2100404,2100409,1.6083333333333334
2100404,2100412,4.378333333333333
2100404,2100415,3.135
2100404,2100429,2.421666666666667
2100404,2100442,4.881666666666666
2100404,2100444,2.7233333333333336
2100404,2100451,6.641666666666667
2100405,2100406,5.858333333333333
2100405,2100411,4.081666666666667
2100405,2100412,3.5683333333333334
2100405,2100430,3.8433333333333333
2100405,2100434,5.633333333333334
2100405,2100443,7.983333333333333
2100406,2100412,5.691666666666666
2100406,2100421,3.4616666666666664
2100406,2100443,4.73
2100406,2100444,2.316666666666667
2100407,2100408,1.25
2100407,2100410,2.1366666666666663
2100407,2100411,3.23
2100408,2100409,2.4650000000000003
2100408,2100442,3.0116666666666663
2100409,2100410,2.4699999999999998
2100409,2100429,2.2183333333333333
2100411,2100412,3.4233333333333333
2100411,2100430,2.808333333333333
2100411,2100442,3.021666666666667
2100412,2100442,2.6633333333333336
2100414,2100416,2.83
2100414,2100451,3.2333333333333334
2100415,2100416,2.1333333333333333
2100415,2100429,2.48
2100415,2100451,5.408333333333333
2100416,2100429,1.5716666666666665
2100416,2100451,3.77
2100417,2100419,3.3366666666666664
2100417,2100420,3.4433333333333334
2100417,2100423,4.676666666666667
2100417,2100443,2.8016666666666667
2100418,2100424,3.3616666666666664
2100418,2100425,3.885
2100418,2100431,5.665
2100418,2100432,4.735
2100418,2100614,5.548333333333333
2100419,2100423,6.239999999999999
2100419,2100443,4.364999999999999
2100419,2100509,6.428333333333333
2100420,2100421,2.953333333333333
2100420,2100423,4.483333333333333
2100420,2100443,2.8916666666666666
2100421,2100422,4.4783333333333335
2100421,2100423,4.888333333333334
2100421,2100443,3.296666666666667
2100421,2100444,3.25
2100422,2100423,6.955
2100422,2100444,4.306666666666667
2100422,2100451,10.398333333333333
2100424,2100427,0.9133333333333333
2100424,2100614,2.74
2100425,2100427,2.1416666666666666
2100425,2100428,1.645
2100425,2100433,1.4166666666666667
2100426,2100427,0.535
2100426,2100428,3.003333333333333
2100426,2100430,2.3983333333333334
2100427,2100428,2.768333333333333
2100428,2100430,1.995
2100428,2100433,2.6666666666666665
2100430,2100434,3.0233333333333334
2100431,2100432,3.246666666666667
2100431,2100435,3.9383333333333335
2100431,2100601,2.025
2100431,2100611,2.6550000000000002
2100431,2100612,2.4516666666666667
2100432,2100433,1.895
2100432,2100435,2.671666666666667
2100433,2100434,2.4766666666666666
2100433,2100435,2.36
2100434,2100435,4.115
2100434,2100438,3.7849999999999997
2100434,2100443,5.258333333333334
2100435,2100436,4.7266666666666675
2100435,2100437,4.395
2100436,2100437,3.3733333333333335
2100437,2100438,3.9916666666666667
2100437,2100440,3.26
2100438,2100440,3.65
2100438,2100443,4.293333333333334
2100438,2100448,3.325
2100439,2100441,3.8216666666666668
2100439,2100446,3.1300000000000003
2100439,2100447,2.2183333333333333
2100439,2100449,4.215
2100439,2100512,8.895000000000001
2100439,2100513,12.358333333333333
2100439,2100608,9.516666666666667
2100439,2100708,7.22
2100440,2100448,1.5150000000000001
2100441,2100445,3.3333333333333335
2100441,2100448,3.05
2100441,2100449,1.5016666666666665
2100443,2100509,6.4383333333333335
2100443,2100513,13.163333333333332
2100444,2100451,9.68
2100445,2100448,1.9033333333333333
2100445,2100449,1.8783333333333334
2100446,2100447,3.466666666666667
2100446,2100449,3.515
2100451,2101207,12.7
2100501,2100502,5.87
2100501,2100507,1.5733333333333335
2100501,2100511,3.95
2100502,2100507,4.6899999999999995
2100502,2100511,5.2733333333333325
2100502,2100512,7.835
2100502,2100513,10.26
2100504,2100507,5.5649999999999995
2100504,2100510,7.716666666666667
2100504,2100513,12.383333333333333
2100505,2100506,7.326666666666667
2100505,2100509,2.8666666666666667
2100505,2100514,3.8466666666666667
2100505,2100516,4.953333333333333
2100506,2100509,8.078333333333333
2100506,2100514,9.778333333333334
2100506,2100516,7.155
2100507,2100511,3.8483333333333336
2100508,2100513,14.198333333333332
2100508,2100515,3.1233333333333335
2100508,2100517,5.843333333333334
2100509,2100510,7.173333333333333
2100509,2100513,13.983333333333333
2100509,2100514,4.556666666666667
2100509,2100515,3.671666666666667
2100509,2100516,5.1466666666666665
2100509,2100517,4.988333333333333
2100510,2100511,7.616666666666666
2100510,2100513,13.851666666666667
2100510,2100514,5.076666666666667
2100510,2101203,16.779999999999998
2100510,2101206,5.318333333333333
2100510,2101207,8.705
2100510,2101212,7.996666666666667
2100511,2100512,8.563333333333333
2100511,2101203,17.045
2100512,2100513,10.313333333333333
