OBJECTID,src_SA1_MAIN16,nbr_SA1_MAIN16,src_SA1_7DIG16,nbr_SA1_7DIG16,LENGTH,NODE_COUNT
1,20101100101,20101100106,2100101,2100106,0.003877267365554,0
2,20101100101,20101100109,2100101,2100109,0.004199177655907,0
3,20101100101,20101100114,2100101,2100114,0.005315623706221,0
4,20101100101,20101100117,2100101,2100117,0.004095571132431,0
5,20101100102,20101100106,2100102,2100106,0.001014170591002,0
6,20101100102,20101100112,2100102,2100112,0.002858553553983,0
7,20101100102,20101100114,2100102,2100114,0.004773136475581,0
8,20101100102,20101100124,2100102,2100124,0.002101367178870,0
9,20101100105,20101100107,2100105,2100107,0.005632618853691,0
10,20101100105,20101100108,2100105,2100108,0.010009254314893,0
11,20101100105,20101100123,2100105,2100123,0.001638181174129,0
12,20101100105,20101100210,2100105,2100210,0.009817653201713,0
13,20101100105,20101100614,2100105,2100614,0.007261332032262,0
14,20101100106,20101100108,2100106,2100108,0.004043775395202,0
15,20101100106,20101100109,2100106,2100109,0.004017247273683,0
16,20101100106,20101100114,2100106,2100114,0.001216054657133,0
17,20101100106,20101100121,2100106,2100121,0.007912142221676,0
18,20101100106,20101100124,2100106,2100124,0.007926885619356,0
19,20101100107,20101100108,2100107,2100108,0.003122982398159,0
20,20101100107,20101100109,2100107,2100109,0.001900210537824,0
21,20101100107,20101100117,2100107,2100117,0.000000000000000,1
22,20101100107,20101100202,2100107,2100202,0.005977726898136,0
23,20101100107,20101100210,2100107,2100210,0.003315109830498,0
24,20101100108,20101100109,2100108,2100109,0.004952307806514,0
25,20101100108,20101100121,2100108,2100121,0.003735897653324,0
26,20101100108,20101100123,2100108,2100123,0.009302670875783,0
27,20101100109,20101100117,2100109,2100117,0.009003164787254,0
28,20101100109,20101100202,2100109,2100202,0.000000000000000,1
29,20101100110,20101100111,2100110,2100111,0.006049000760562,0
30,20101100110,20101100112,2100110,2100112,0.002665274239695,0
31,20101100110,20101100114,2100110,2100114,0.001402875257121,0
32,20101100110,20101100117,2100110,2100117,0.004235286110626,0
33,20101100110,20101100119,2100110,2100119,0.004406763268355,0
34,20101100110,20101100122,2100110,2100122,0.003924729795916,0
35,20101100111,20101100112,2100111,2100112,0.003525423187594,0
36,20101100111,20101100113,2100111,2100113,0.006800858637306,0
37,20101100111,20101100122,2100111,2100122,0.001896443030630,0
38,20101100112,20101100113,2100112,2100113,0.002769707209406,0
39,20101100112,20101100114,2100112,2100114,0.004532780894505,0
40,20101100112,20101100120,2100112,2100120,0.000106673895896,0
41,20101100112,20101100123,2100112,2100123,0.002989569704546,0
42,20101100112,20101100124,2100112,2100124,0.001478881674660,0
43,20101100113,20101100120,2100113,2100120,0.006109543732393,0
44,20101100113,20101100122,2100113,2100122,0.004072435325469,0
45,20101100114,20101100117,2100114,2100117,0.006833625584772,0
46,20101100115,20101100122,2100115,2100122,0.021420223951182,0
47,20101100115,20102101011,2100115,2101011,0.017409498353671,0
48,20101100117,20101100119,2100117,2100119,0.014161159292791,0
49,20101100117,20101100201,2100117,2100201,0.009960729648412,0
50,20101100117,20101100202,2100117,2100202,0.007635030121093,0
51,20101100117,20101100204,2100117,2100204,0.000000000000000,1
52,20101100117,20101100814,2100117,2100814,0.011522081228321,0
53,20101100118,20101100121,2100118,2100121,0.001343581474574,0
54,20101100118,20101100123,2100118,2100123,0.008161298069186,0
55,20101100118,20101100124,2100118,2100124,0.008915692129304,0
56,20101100119,20101100122,2100119,2100122,0.038873058749419,0
57,20101100119,20101100814,2100119,2100814,0.006583417884867,0
58,20101100119,20101100842,2100119,2100842,0.036940822223989,0
59,20101100120,20101100122,2100120,2100122,0.003124347034464,0
60,20101100120,20101100123,2100120,2100123,0.009330474530250,0
61,20101100121,20101100123,2100121,2100123,0.009311542140789,0
62,20101100121,20101100124,2100121,2100124,0.003173653415141,0
63,20101100122,20101100123,2100122,2100123,0.011730207091431,0
64,20101100122,20101100607,2100122,2100607,0.076086417609364,0
65,20101100122,20101100705,2100122,2100705,0.021558289112838,0
66,20101100122,20101100842,2100122,2100842,0.027000539531887,0
67,20101100122,20102101011,2100122,2101011,0.058162966475370,0
68,20101100122,20103101409,2100122,2101409,0.046221270027260,0
69,20101100123,20101100124,2100123,2100124,0.003269162992789,0
70,20101100123,20101100605,2100123,2100605,0.018136762367741,0
71,20101100123,20101100607,2100123,2100607,0.000172925682469,0
72,20101100123,20101100614,2100123,2100614,0.009595015959237,0
73,20101100201,20101100202,2100201,2100202,0.001614705797429,0
74,20101100201,20101100203,2100201,2100203,0.002858212904934,0
75,20101100201,20101100204,2100201,2100204,0.003601000454238,0
76,20101100201,20101100814,2100201,2100814,0.000000000000000,1
77,20101100202,20101100203,2100202,2100203,0.006998302120400,0
78,20101100202,20101100208,2100202,2100208,0.002427784704597,0
79,20101100202,20101100209,2100202,2100209,0.006819668548232,0
80,20101100202,20101100210,2100202,2100210,0.000165263821560,0
81,20101100203,20101100204,2100203,2100204,0.007170287569124,0
82,20101100203,20101100209,2100203,2100209,0.002113061982830,0
83,20101100204,20101100209,2100204,2100209,0.003717444874601,0
84,20101100204,20101100225,2100204,2100225,0.000891771232457,0
85,20101100204,20101100814,2100204,2100814,0.010252641404190,0
86,20101100204,20101100824,2100204,2100824,0.000000000000000,1
87,20101100205,20101100210,2100205,2100210,0.005828909078402,0
88,20101100205,20101100211,2100205,2100211,0.007447720312576,0
89,20101100205,20101100214,2100205,2100214,0.001771622403594,0
90,20101100205,20101100230,2100205,2100230,0.002702998021582,0
91,20101100205,20101100424,2100205,2100424,0.003811640295254,0
92,20101100205,20101100427,2100205,2100427,0.001281188037695,0
93,20101100206,20101100207,2100206,2100207,0.006906909023646,0
94,20101100206,20101100208,2100206,2100208,0.011830356037915,0
95,20101100206,20101100210,2100206,2100210,0.007130612994752,0
96,20101100206,20101100211,2100206,2100211,0.004148682862900,0
97,20101100207,20101100208,2100207,2100208,0.002521932148030,0
98,20101100207,20101100211,2100207,2100211,0.004456162491499,0
99,20101100207,20101100212,2100207,2100212,0.000000000000000,1
100,20101100207,20101100213,2100207,2100213,0.002103261430092,0
101,20101100207,20101100232,2100207,2100232,0.000000000000000,1
102,20101100207,20101100233,2100207,2100233,0.002343601925791,0
103,20101100208,20101100209,2100208,2100209,0.022723266973382,0
104,20101100208,20101100210,2100208,2100210,0.006194972245259,0
105,20101100208,20101100212,2100208,2100212,0.002143133864914,0
106,20101100208,20101100222,2100208,2100222,0.001569792018659,0
107,20101100208,20101100233,2100208,2100233,0.000000000000000,1
108,20101100209,20101100222,2100209,2100222,0.004838042076258,0
109,20101100209,20101100223,2100209,2100223,0.005293449606620,0
110,20101100209,20101100224,2100209,2100224,0.003464438688077,0
111,20101100209,20101100225,2100209,2100225,0.010835320627061,0
112,20101100209,20101100228,2100209,2100228,0.008834159956533,0
113,20101100209,20101100229,2100209,2100229,0.005381138640293,0
114,20101100210,20101100211,2100210,2100211,0.002786613273548,0
115,20101100210,20101100424,2100210,2100424,0.003993560217984,0
116,20101100210,20101100614,2100210,2100614,0.013091510229627,0
117,20101100211,20101100213,2100211,2100213,0.000000000000000,1
118,20101100211,20101100214,2100211,2100214,0.000299425500550,0
119,20101100211,20101100232,2100211,2100232,0.002132221756296,0
120,20101100212,20101100217,2100212,2100217,0.002074964442593,0
