Origin,Destination,Time (min)
102011029,102011034,11.2
102011029,102011040,18.78
102011029,102011042,18.55
102011030,102011032,37.3
102011030,102011033,29.92
102011030,102011035,32.45
102011030,102011036,32.27
102011030,102011040,51.28
102011030,102011042,35.5
102011030,102021049,65.23
102011030,102021051,47.22
102011030,115021297,90.88
102011030,115021298,93.32
102011030,115031299,169.6
102011031,102011032,16.87
102011031,102011034,14.67
102011031,102011036,16.35
102011031,102011038,17.33
102011031,102011039,7.62
102011031,102011041,7.82
102011031,102011043,20.95
102011031,102021047,19.03
102011032,102011030,38.18
102011032,102011031,12.47
102011032,102011033,12.98
102011032,102011035,9.2
102011032,102011037,13.98
102011032,102011043,6.8
102011033,102011030,30.72
102011033,102011032,13.33
102011033,102011037,12.32
102011033,102011042,7.12
102011034,102011029,10.92
102011034,102011031,16.42
102011034,102011038,9.68
102011034,102011039,10.7
102011035,102011030,33.12
102011035,102011032,9.2
102011035,102011036,7.9
102011035,102011043,7.57
102011036,102011030,34.02
102011036,102011031,13.27
102011036,102011035,8.45
102011036,102011043,9.97
102011036,102021047,14.72
102011036,102021051,31.5
102011037,102011032,14.65
102011037,102011033,11.58
102011037,102011042,14.5
102011038,102011031,13.73
102011038,102011034,9.93
102011039,102011031,9.42
102011039,102011034,10.78
102011039,102011041,10.72
102011040,102011029,18.47
102011040,102011030,51.5
102011040,102011042,15.6
102011041,102011031,9.98
102011041,102011039,11.0
102011041,102021044,7.68
102011041,102021047,11.22
102011042,102011029,18.75
102011042,102011030,36.15
102011042,102011033,6.8
102011042,102011037,13.92
102011042,102011040,15.95
102011043,102011031,16.7
102011043,102011032,6.63
102011043,102011035,7.63
102011043,102011036,9.77
102021044,102011041,7.92
102021044,102021047,9.55
102021044,102021053,13.03
102021045,102021046,6.82
102021045,102021048,11.7
102021045,102021049,44.68
102021045,102021050,12.17
102021045,102021056,11.93
102021046,102021045,6.6
102021046,102021050,15.7
102021046,102021054,8.63
102021047,102011031,21.73
102021047,102011036,14.32
102021047,102011041,11.75
102021047,102021044,10.1
102021047,102021051,34.45
102021047,102021055,10.55
102021048,102021045,12.1
102021048,102021056,6.3
102021048,102021057,10.05
102021049,102011030,67.02
102021049,102021045,44.72
102021049,102021051,63.67
102021049,102021055,39.23
102021049,102021056,39.63
102021049,102021057,37.23
102021050,102021045,12.25
102021050,102021046,16.07
102021050,102021052,10.82
102021051,102011030,47.13
102021051,102011036,30.1
102021051,102021047,33.8
102021051,102021049,63.07
102021051,102021055,30.02
102021052,102021050,8.37
102021053,102021044,13.32
102021053,102021054,8.82
102021054,102021046,8.57
102021054,102021053,8.13
102021055,102021047,10.93
102021055,102021049,39.77
102021055,102021051,30.45
102021055,102021057,8.73
102021056,102021045,12.53
102021056,102021048,6.77
102021056,102021049,39.43
102021056,102021057,9.25
102021057,102021048,9.93
102021057,102021049,36.87
102021057,102021055,8.07
102021057,102021056,9.27
115011290,115011291,9.1
115011290,115011296,13.97
115011290,125041490,12.95
115011290,125041491,9.47
115011290,125041494,9.13
115011291,115011290,9.45
115011291,116011307,8.8
115011291,116021309,10.17
115011291,125041494,12.55
115011294,115021297,32.27
115011294,115041302,14.72
115011296,115011290,14.67
115011296,125021476,8.23
115011296,125041490,11.05
115011296,126011496,11.12
115021297,102011030,91.25
