SA1_7DIGITCODE_2016,SA2_MAINCODE_2016
1102901,102011029
1102902,102011029
1102903,102011029
1102904,102011029
1102905,102011029
1102906,102011029
1102907,102011029
1102908,102011029
1102909,102011029
1102910,102011029
1102911,102011029
1102912,102011029
1102913,102011029
1102914,102011029
1102915,102011029
1102916,102011029
1102917,102011029
1102918,102011029
1102919,102011029
1102920,102011029
1102922,102011029
1102923,102011029
1102924,102011029
1102925,102011029
1102926,102011029
1102927,102011029
1102928,102011029
1103002,102011030
1103003,102011030
1103004,102011030
1103005,102011030
1103006,102011030
1103007,102011030
1103008,102011030
1103009,102011030
1103010,102011030
1103011,102011030
1103012,102011030
1103101,102011031
1103102,102011031
1103103,102011031
1103104,102011031
1103105,102011031
1103106,102011031
1103107,102011031
1103108,102011031
1103109,102011031
1103110,102011031
1103111,102011031
1103112,102011031
1103113,102011031
1103114,102011031
1103115,102011031
1103116,102011031
1103117,102011031
1103118,102011031
1103119,102011031
1103120,102011031
1103121,102011031
1103122,102011031
1103123,102011031
1103124,102011031
1103125,102011031
1103126,102011031
1103127,102011031
1103128,102011031
1103129,102011031
1103130,102011031
1103131,102011031
1103133,102011031
1103134,102011031
1103135,102011031
1103136,102011031
1103137,102011031
1103138,102011031
1103201,102011032
1103202,102011032
1103203,102011032
1103204,102011032
1103205,102011032
1103206,102011032
1103207,102011032
1103208,102011032
1103210,102011032
1103211,102011032
1103212,102011032
1103213,102011032
1103214,102011032
1103215,102011032
1103216,102011032
1103217,102011032
1103218,102011032
1103219,102011032
1103220,102011032
1103221,102011032
1103223,102011032
1103224,102011032
1103225,102011032
1103226,102011032
1103227,102011032
1103228,102011032
1103229,102011032
1103230,102011032
1103231,102011032
1103232,102011032
1103233,102011032
1103234,102011032
1103235,102011032
1103236,102011032
1103237,102011032
1103238,102011032
1103239,102011032
1103240,102011032
1103241,102011032
1103242,102011032
1103243,102011032
1103244,102011032
1103301,102011033
1103302,102011033
1103303,102011033
1103304,102011033
1103305,102011033
1103306,102011033
1103307,102011033
1103308,102011033
1103309,102011033
1103310,102011033
1103311,102011033
1103312,102011033
1103313,102011033
1103314,102011033
1103315,102011033
1103317,102011033
1103318,102011033
1103319,102011033
1103401,102011034
1103402,102011034
1103403,102011034
1103404,102011034
1103405,102011034
1103406,102011034
1103407,102011034
1103408,102011034
1103409,102011034
1103410,102011034
1103411,102011034
1103412,102011034
1103413,102011034
1103414,102011034
1103415,102011034
1103416,102011034
1103417,102011034
1103418,102011034
1103419,102011034
1103501,102011035
1103502,102011035
1103503,102011035
1103504,102011035
1103505,102011035
1103506,102011035
1103507,102011035
1103508,102011035
1103509,102011035
1103510,102011035
1103511,102011035
1103512,102011035
1103513,102011035
1103514,102011035
1103515,102011035
1103516,102011035
1103517,102011035
1103601,102011036
1103602,102011036
1103603,102011036
1103604,102011036
1103605,102011036
1103606,102011036
1103607,102011036
1103608,102011036
1103609,102011036
1103610,102011036
1103611,102011036
1103612,102011036
1103613,102011036
1103614,102011036
1103615,102011036
1103616,102011036
1103617,102011036
1103618,102011036
1103619,102011036
1103620,102011036
1103621,102011036
1103622,102011036
1103701,102011037
1103702,102011037
1103703,102011037
1103704,102011037
1103705,102011037
1103706,102011037
1103707,102011037
1103708,102011037
1103709,102011037
1103710,102011037
1103711,102011037
1103712,102011037
1103713,102011037
1103714,102011037
1103801,102011038
1103802,102011038
1103803,102011038
1103804,102011038
1103805,102011038
1103806,102011038
1103807,102011038
1103808,102011038
1103809,102011038
1103810,102011038
1103811,102011038
1103812,102011038
1103813,102011038
1103814,102011038
1103815,102011038
1103816,102011038
1103817,102011038
1103901,102011039
1103902,102011039
1103903,102011039
1103904,102011039
1103905,102011039
1103906,102011039
1103908,102011039
1103909,102011039
1103911,102011039
1103912,102011039
1103913,102011039
1103914,102011039
1103915,102011039
1103916,102011039
1103917,102011039
1103918,102011039
1103919,102011039
1103920,102011039
1103921,102011039
1103922,102011039
1103923,102011039
1103924,102011039
1103925,102011039
1103926,102011039
1103927,102011039
1104001,102011040
1104002,102011040
1104003,102011040
1104004,102011040
1104005,102011040
1104006,102011040
1104007,102011040
1104008,102011040
1104009,102011040
1104010,102011040
1104011,102011040
1104012,102011040
1104013,102011040
1104014,102011040
1104015,102011040
1104016,102011040
1104017,102011040
1104018,102011040
1104019,102011040
1104020,102011040
1104021,102011040
1104022,102011040
1104023,102011040
1104024,102011040
1104025,102011040
1104026,102011040
1104027,102011040
1104028,102011040
1104029,102011040
1104030,102011040
1104031,102011040
1104032,102011040
1104033,102011040
1104034,102011040
1104035,102011040
1104036,102011040
1104037,102011040
1104038,102011040
1104039,102011040
1104040,102011040
1104041,102011040
1104042,102011040
1104043,102011040
1104044,102011040
1104045,102011040
1104046,102011040
1104047,102011040
1104048,102011040
1104049,102011040
1104050,102011040
1104051,102011040
1104052,102011040
1104053,102011040
1104054,102011040
1104055,102011040
1104056,102011040
1104057,102011040
1104058,102011040
1104101,102011041
1104102,102011041
1104103,102011041
1104104,102011041
1104105,102011041
1104106,102011041
1104107,102011041
1104109,102011041
1104110,102011041
1104111,102011041
1104112,102011041
1104113,102011041
1104114,102011041
1104115,102011041
1104116,102011041
1104117,102011041
1104119,102011041
1104120,102011041
1104121,102011041
1104122,102011041
1104123,102011041
1104124,102011041
1104125,102011041
1104201,102011042
1104202,102011042
1104203,102011042
1104204,102011042
1104205,102011042
1104207,102011042
1104208,102011042
1104209,102011042
1104210,102011042
1104211,102011042
1104212,102011042
1104213,102011042
1104214,102011042
1104215,102011042
1104216,102011042
1104217,102011042
1104218,102011042
1104219,102011042
1104220,102011042
1104221,102011042
1104222,102011042
1104223,102011042
1104224,102011042
1104225,102011042
1104226,102011042
1104227,102011042
1104228,102011042
1104229,102011042
1104230,102011042
1104231,102011042
1104232,102011042
1104233,102011042
1104301,102011043
1104302,102011043
1104303,102011043
1104304,102011043
1104305,102011043
1104306,102011043
1104307,102011043
1104308,102011043
1104309,102011043
1104310,102011043
1104311,102011043
1104312,102011043
1104313,102011043
1104314,102011043
1104315,102011043
1104316,102011043
1104317,102011043
1104318,102011043
1104319,102011043
1104320,102011043
1104321,102011043
1104322,102011043
1104323,102011043
1104324,102011043
1104325,102011043
1104326,102011043
1104327,102011043
1104328,102011043
1104329,102011043
1104330,102011043
1104401,102021044
1104402,102021044
1104403,102021044
1104404,102021044
1104405,102021044
1104406,102021044
1104407,102021044
1104408,102021044
1104409,102021044
1104410,102021044
1104411,102021044
1104412,102021044
1104414,102021044
1104415,102021044
1104416,102021044
1104417,102021044
1104418,102021044
1104419,102021044
1104420,102021044
1104421,102021044
1104422,102021044
1104423,102021044
1104424,102021044
1104425,102021044
1104426,102021044
1104427,102021044
1104428,102021044
1104429,102021044
1104430,102021044
1104431,102021044
1104432,102021044
1104433,102021044
1104434,102021044
1104435,102021044
1104436,102021044
1104437,102021044
1104438,102021044
1104439,102021044
1104440,102021044
1104441,102021044
1104442,102021044
1104443,102021044
1104444,102021044
1104445,102021044
1104446,102021044
1104447,102021044
1104448,102021044
1104449,102021044
1104450,102021044
1104451,102021044
1104452,102021044
1104453,102021044
1104454,102021044
1104455,102021044
1104456,102021044
1104457,102021044
1104458,102021044
1104459,102021044
1104501,102021045
1104502,102021045
1104503,102021045
1104504,102021045
1104505,102021045
1104506,102021045
1104507,102021045
1104508,102021045
1104509,102021045
1104510,102021045
1104511,102021045
1104512,102021045
1104513,102021045
1104514,102021045
1104515,102021045
1104516,102021045
1104517,102021045
1104518,102021045
1104519,102021045
1104521,102021045
1104522,102021045
1104523,102021045
1104524,102021045
