,0
0,4
1,5
2,5
3,3
4,5
5,5
6,6
7,5
8,5
9,5
10,4
11,5
12,5
13,5
14,5
15,5
16,5
17,5
18,5
19,5
20,5
21,5
22,5
23,5
24,4
25,5
26,5
27,5
28,5
29,5
30,4
31,4
32,6
33,4
34,4
35,4
36,4
37,6
38,4
39,6
40,5
41,6
42,6
43,5
44,5
45,5
46,5
47,6
48,6
49,6
50,6
51,6
52,6
53,4
54,6
55,4
56,5
57,5
58,5
59,4
60,4
61,4
62,5
63,4
64,4
65,4
66,6
67,4
68,4
69,4
70,4
71,5
72,4
73,4
74,4
75,4
76,4
77,4
78,4
79,4
80,4
81,5
82,5
83,6
84,4
85,6
86,4
87,4
88,4
89,4
90,6
91,6
92,5
93,5
94,6
95,4
96,5
97,6
98,6
99,6
100,6
101,4
102,6
103,5
104,5
105,5
106,4
107,6
108,5
109,5
110,4
111,6
112,6
113,6
114,6
115,4
116,4
117,4
118,4
119,6
120,4
121,4
122,4
123,4
124,6
125,4
126,4
127,4
128,4
129,4
130,4
131,4
132,4
133,6
134,6
135,6
136,6
137,6
138,6
139,4
140,4
141,4
142,4
143,4
144,4
145,4
146,4
147,4
148,4
149,4
150,6
151,6
152,4
153,6
154,4
155,5
156,4
157,5
158,5
159,5
160,5
161,5
162,5
163,5
164,5
165,4
166,4
167,4
168,4
169,4
170,5
171,4
172,5
173,5
174,5
175,5
176,4
177,5
178,5
179,5
180,5
181,5
182,5
183,4
184,5
185,4
186,6
187,6
188,5
189,5
190,5
191,6
192,5
193,5
194,5
195,6
196,6
197,4
198,4
199,6
200,4
201,5
202,4
203,4
204,5
205,4
206,4
207,5
208,5
209,4
210,6
211,4
212,6
213,4
214,4
215,4
216,4
217,6
218,5
219,5
220,5
221,4
222,4
223,6
224,6
225,6
226,4
227,6
228,6
229,4
230,4
231,4
232,6
233,4
234,5
235,4
236,6
237,4
238,4
239,4
240,6
241,4
242,4
243,6
244,4
245,6
